S1 Center 	 Band Mean 	 Band Widths
184.0	4.504906343772509	[0.12345378 0.12345378]
185.0	4.499741286819608	[0.11699421 0.11699421]
186.0	4.512546602297549	[0.11446918 0.13667574]
187.0	4.511457075521016	[0.10744861 0.12063155]
188.0	4.510706950878381	[0.1141234 0.1141234]
189.0	4.516673059560028	[0.11708135 0.11708135]
190.0	4.518443910024991	[0.11943955 0.11943955]
191.0	4.515819252840488	[0.11801091 0.11801091]
192.0	4.517993925002422	[0.11233238 0.11233238]
193.0	4.522596514895864	[0.11333711 0.11333711]
194.0	4.51916711576655	[0.1161719 0.1161719]
195.0	4.5214680771921785	[0.1170102 0.1170102]
196.0	4.524906851950184	[0.11528106 0.11528106]
197.0	4.531724764277465	[0.11981444 0.11981444]
198.0	4.5332468036737925	[0.11991969 0.11991969]
199.0	4.539255917075906	[0.10637225 0.13220199]
200.0	4.531911939461013	[0.11811263 0.11811263]
201.0	4.538211809929385	[0.1208113 0.1208113]
202.0	4.537827236848858	[0.11559822 0.11559822]
203.0	4.54676994494646	[0.11274429 0.12348554]
204.0	4.5432430635404994	[0.11421441 0.11421441]
205.0	4.545274775476835	[0.11346305 0.11346305]
206.0	4.55261967488179	[0.11204005 0.11204005]
207.0	4.549520596222391	[0.10918865 0.1317946 ]
208.0	4.551227270149991	[0.10464792 0.12682954]
209.0	4.552935470368588	[0.11775712 0.11775712]
210.0	4.554401297314133	[0.11638075 0.11638075]
211.0	4.558986397668616	[0.11809987 0.11809987]
212.0	4.56067885285825	[0.1195522 0.1195522]
213.0	4.56670663384941	[0.10986921 0.12925724]
214.0	4.5659181687632655	[0.11180913 0.11180913]
215.0	4.573904296789578	[0.10238965 0.1231172 ]
216.0	4.576659800844148	[0.11485739 0.11485739]
217.0	4.569188528910826	[0.12669975 0.12669975]
218.0	4.5797379853154245	[0.11501585 0.11350715]
219.0	4.570503338640052	[0.11618345 0.11618345]
220.0	4.585884589521731	[0.11408436 0.11408436]
221.0	4.581977397935944	[0.11921649 0.11921649]
222.0	4.58558653239319	[0.11806598 0.11806598]
223.0	4.591802229057394	[0.12186795 0.12186795]
224.0	4.590254854545201	[0.11500546 0.11500546]
225.0	4.583205795402268	[0.11660931 0.11660931]
226.0	4.592574458758804	[0.1109885  0.12893683]
227.0	4.592624815906599	[0.12192786 0.12192786]
228.0	4.592585477618858	[0.11616354 0.11616354]
229.0	4.599725088755117	[0.11960721 0.11960721]
230.0	4.602711241806656	[0.12051375 0.12051375]
231.0	4.599296223531173	[0.12148759 0.12148759]
232.0	4.6033522633523605	[0.12715646 0.12715646]
233.0	4.6130888001729735	[0.11771509 0.11771509]
234.0	4.609601383752893	[0.10974526 0.12064535]
235.0	4.611232718805883	[0.10887679 0.14282768]
236.0	4.611765413588584	[0.11775641 0.11775641]
237.0	4.6184776614545875	[0.11795569 0.12669269]
238.0	4.618045660062465	[0.11476292 0.12651283]
239.0	4.6193672016681955	[0.11881239 0.11881239]
240.0	4.620586930414867	[0.12599986 0.12599986]
241.0	4.624314974694978	[0.11475232 0.13176729]
242.0	4.6259268912841325	[0.12265901 0.12265901]
243.0	4.623103636816351	[0.12427763 0.12427763]
244.0	4.631376473462764	[0.10225064 0.12858631]
245.0	4.628121711908237	[0.11445231 0.11445231]
246.0	4.631991882532057	[0.11760372 0.13954259]
247.0	4.633656898978217	[0.12102497 0.12102497]
248.0	4.636305004708139	[0.12489424 0.12489424]
249.0	4.639655292571355	[0.1188489  0.13437108]
250.0	4.63899068817755	[0.11801659 0.11801659]
251.0	4.643000415556465	[0.12175439 0.12175439]
252.0	4.6464383437346495	[0.11110273 0.12566622]
253.0	4.652071203397303	[0.12142421 0.12877871]
254.0	4.643402915239849	[0.12066411 0.12066411]
255.0	4.650555103855249	[0.11486701 0.12865877]
256.0	4.653584179190755	[0.11310398 0.13352913]
257.0	4.651372983798024	[0.12126729 0.12126729]
258.0	4.659845870140369	[0.11814749 0.12289726]
259.0	4.6542042853586265	[0.11714741 0.13163574]
260.0	4.664783298061891	[0.1227468  0.12278655]
261.0	4.664198771254038	[0.11576423 0.1260038 ]
262.0	4.66123129944083	[0.12209402 0.12447544]
263.0	4.67141751259777	[0.1187056  0.12069473]
264.0	4.6679807298937686	[0.11841886 0.12547274]
265.0	4.668106221895086	[0.12422369 0.12422369]
266.0	4.674021483490254	[0.11950319 0.11950319]
267.0	4.6731581865226826	[0.11318785 0.11779505]
268.0	4.673173126990207	[0.12063369 0.12063369]
269.0	4.6749403926595186	[0.11417471 0.11417471]
270.0	4.678058709281569	[0.11012055 0.11525374]
271.0	4.6787625681940614	[0.11568301 0.11568301]
272.0	4.678465401225246	[0.11254505 0.11254505]
273.0	4.684030266624881	[0.1172632 0.1172632]
274.0	4.682412476838796	[0.11363948 0.11363948]
275.0	4.68393329528632	[0.12022081 0.1143547 ]
276.0	4.689813032931191	[0.11573177 0.11573177]
277.0	4.685787175939706	[0.10723939 0.10769076]
278.0	4.689133604407847	[0.11082944 0.11082944]
279.0	4.687587543300017	[0.1129493 0.1129493]
280.0	4.691025097530889	[0.11125641 0.11125641]
281.0	4.70024261522826	[0.11128436 0.11128436]
282.0	4.694906516276219	[0.10981097 0.10981097]
283.0	4.690966609958912	[0.11586366 0.11586366]
284.0	4.70006737666628	[0.10820584 0.10820584]
285.0	4.700908738644117	[0.10530128 0.10530128]
286.0	4.698987495293498	[0.11090037 0.11090037]
287.0	4.701476630914352	[0.12039522 0.09657519]
288.0	4.704687527701307	[0.10438854 0.10438854]
289.0	4.707283820207872	[0.10651573 0.10651573]
290.0	4.698752066106619	[0.10830188 0.10830188]
291.0	4.70271570658735	[0.10568411 0.10568411]
292.0	4.700992905742809	[0.10347984 0.10347984]
293.0	4.704915327632108	[0.10183186 0.10183186]
294.0	4.701403562957055	[0.10473843 0.09271193]
295.0	4.704873723169931	[0.10107405 0.10107405]
296.0	4.70828213333326	[0.09808652 0.09808652]
297.0	4.7071891932666725	[0.0998521 0.0998521]
298.0	4.712091085586629	[0.09539263 0.09539263]
299.0	4.71304349223239	[0.09814931 0.09814931]
